id,mailto_wave2
2,True
3,True
5,True
7,True
9,True
12,True
13,True
15,True
17,True
19,True
20,True
29,True
34,False
35,True
36,True
38,True
41,True
42,True
43,True
45,False
46,True
47,True
49,False
50,True
55,True
62,True
70,True
72,True
74,True
75,True
80,True
88,True
97,True
98,True
100,True
101,False
108,True
109,True
112,True
115,True
116,True
123,True
125,True
129,True
131,True
132,True
137,True
139,True
140,True
142,True
148,True
149,True
150,True
154,True
155,True
156,False
160,True
164,True
168,True
173,True
176,True
179,True
181,False
182,True
187,True
198,True
199,True
200,True
201,True
206,True
207,True
211,True
218,True
228,True
233,True
239,True
240,True
242,True
247,True
248,True
249,True
256,True
257,True
260,True
261,True
265,True
267,True
270,False
272,True
274,True
276,True
281,False
288,True
293,True
297,False
298,True
304,True
305,True
306,True
307,True
309,True
316,True
318,True
319,True
320,True
323,True
324,True
328,True
331,True
333,True
336,False
338,True
339,True
342,True
348,False
351,True
353,True
355,True
357,True
360,True
362,True
367,True
370,True
383,True
389,True
390,True
392,True
393,True
401,True
407,True
408,True
411,True
412,True
415,True
416,True
417,True
422,True
428,True
430,True
431,True
434,True
437,True
441,True
444,True
447,False
455,False
456,True
458,True
460,True
462,False
465,True
468,True
473,False
476,True
486,True
488,True
494,False
500,True
505,True
507,True
511,True
512,True
515,True
520,True
523,True
526,True
528,True
533,True
539,True
540,True
541,True
543,True
545,True
546,True
549,True
566,True
568,True
570,True
573,True
575,True
576,True
583,True
585,True
587,True
588,True
589,True
590,True
592,True
594,False
602,False
607,True
609,True
618,True
619,True
635,False
636,False
642,True
645,True
648,False
650,True
651,True
656,True
657,True
658,True
660,True
685,True
690,True
691,True
692,True
694,True
696,True
699,True
701,True
705,True
706,True
707,True
708,True
709,False
712,True
718,True
721,True
722,False
727,True
736,True
744,True
748,True
752,True
761,True
763,True
765,True
771,False
772,True
775,True
776,True
783,True
786,True
788,False
789,True
790,True
791,True
794,True
796,True
800,True
804,True
806,True
809,True
810,True
817,True
821,False
834,True
842,True
847,True
849,True
853,True
854,False
855,True
857,True
859,True
869,False
872,True
873,True
884,True
889,True
897,True
898,True
899,True
910,True
911,True
914,True
915,True
918,True
919,True
923,True
925,True
934,True
936,True
937,True
942,True
945,True
946,True
947,False
952,True
953,True
955,False
957,True
960,False
963,True
965,True
967,False
969,True
970,False
971,True
974,True
975,True
977,True
978,True
980,True
984,True
985,True
990,True
992,True
995,True
1007,True
1018,True
1019,True
1021,True
1024,False
1026,True
1029,True
1036,True
1037,True
1047,True
1048,True
1058,False
1059,True
1063,True
1065,True
1067,True
1073,True
1078,True
1082,True
1083,True
1092,True
1098,True
1099,True
1106,True
1108,True
1109,True
1114,True
1115,True
1122,True
1124,True
1125,True
1126,True
1137,True
1138,True
1139,True
1140,True
1145,True
1150,True
1151,False
1155,True
1157,True
1158,True
1164,True
1168,True
1169,True
1173,True
1174,True
1175,False
1176,True
1190,True
1195,True
1198,True
1200,True
1201,True
1213,True
1214,True
1217,True
1218,True
1219,True
1223,True
1226,True
1231,True
1232,True
1234,True
1239,True
1243,True
1244,True
1248,True
1249,True
1252,True
1253,True
1255,True
1272,True
1274,True
1275,True
1276,True
1278,True
1282,True
1287,True
1293,True
1295,True
1299,False
1303,True
1307,True
1311,False
1318,True
1319,True
1320,True
1330,True
1331,True
1332,True
1334,True
1336,False
1338,False
1341,True
1346,True
1347,True
1350,True
1356,True
1357,False
1363,True
1365,True
1370,True
1373,True
1374,True
1378,True
1381,True
1383,True
1384,True
1385,True
1387,True
1390,False
1393,True
1402,True
1405,True
1409,True
1412,True
1413,True
1417,True
1420,False
1422,True
1428,True
1432,False
1436,True
1443,True
1444,True
1447,True
1449,True
1458,True
1459,False
1464,True
1465,True
1467,True
1474,True
1483,False
1486,True
1489,True
1490,True
1494,False
1497,True
1499,True
1500,True
1504,False
1505,True
1510,True
1515,True
1517,True
1523,True
1532,True
1539,False
1544,True
1553,True
1558,True
1562,True
1569,True
1574,True
1578,True
1579,True
1583,True
1584,False
1585,False
1587,True
1589,True
1591,True
1592,True
1593,True
1596,True
1598,False
1601,True
1613,True
1615,True
1623,True
1624,True
1625,False
1628,True
1634,True
1639,True
1641,True
1642,True
1645,True
1651,True
1653,True
1654,False
1661,True
1663,True
1664,True
1669,False
1672,True
1674,True
1677,True
1678,True
1688,True
1689,True
1696,True
1699,False
1703,True
1705,True
1707,True
1708,True
1709,True
1713,True
1714,True
1718,True
1730,True
1736,True
1737,True
1748,True
1753,False
1755,True
1757,True
1761,True
1766,True
1768,False
1769,False
1770,True
1773,True
1780,True
1784,True
1787,True
1790,True
1791,True
1793,True
1797,True
1799,True
1800,True
1803,True
1805,True
1808,True
1811,True
1812,True
1813,True
1818,True
1826,True
1830,True
1831,True
1834,True
1836,False
1847,True
1849,True
1852,True
1857,True
1860,True
1865,True
1866,False
1872,True
1873,True
1876,True
1877,True
1878,True
1879,True
1883,True
1885,True
1891,True
1892,True
1895,True
1896,True
1899,True
1901,True
1906,True
1909,False
1910,True
1911,True
1914,True
1915,True
1916,True
1917,True
1924,True
1926,True
1928,True
1930,True
1934,True
1935,True
1936,True
1937,True
1940,True
1941,False
1943,True
1949,False
1951,True
1955,True
1957,True
1959,False
1966,True
1970,True
1975,True
1977,True
1981,True
1985,True
1986,True
1987,True
1990,True
1996,True
2002,False
2009,False
2010,True
2018,True
2020,True
2026,True
2027,True
2030,True
2033,True
2038,False
2040,True
2042,False
2044,True
2048,True
2054,True
2055,True
2059,True
2063,True
2065,True
2070,True
2072,True
2075,False
2078,True
2079,True
2081,True
2084,True
2089,False
2092,False
2093,True
2103,True
2107,True
2108,True
2109,True
2114,True
2115,True
2118,True
2121,True
2134,True
2135,True
2137,True
2138,True
2140,True
2143,True
2144,True
2149,True
2152,True
2153,True
2158,True
2161,True
2162,True
2164,True
2166,True
2170,True
2171,True
2172,True
2175,True
2176,True
2177,False
2180,True
2182,True
2184,True
2186,True
2189,True
2190,True
2197,True
2198,False
2201,False
2207,True
2208,True
2210,True
2211,True
2216,True
2222,True
2232,False
2234,True
2237,True
2238,True
2241,True
2248,True
2249,True
2255,True
2258,True
2261,True
2262,True
2264,True
2269,True
2271,True
2272,False
2273,True
2277,True
2281,False
2284,True
2285,False
2290,False
2291,True
2298,True
2302,False
2303,True
2308,False
2317,True
2320,True
2321,True
2325,False
2334,True
2337,True
2339,False
2341,True
2348,True
2352,True
2354,True
2355,True
2357,True
2361,True
2369,False
2370,True
2371,True
2374,False
2375,True
2377,True
2381,True
2382,True
2383,True
2384,True
2385,True
2386,True
2387,True
2392,True
2397,True
2400,True
2403,True
2405,True
2406,False
2407,True
2413,True
2419,True
2422,True
2427,False
2433,True
2437,True
2443,True
2447,False
2449,True
2457,False
2461,True
2463,True
2464,True
2468,True
2470,False
2474,True
2475,True
2476,True
2483,True
2484,True
2485,True
2489,True
2494,True
2498,True
2500,False
2503,True
2505,True
2507,False
2509,True
2513,True
2516,True
2521,True
2524,True
2525,True
2526,True
2537,True
2538,False
2539,True
2540,True
2541,True
2544,True
2547,False
2554,False
2557,True
2560,True
2561,True
2563,True
2564,True
2567,True
2569,True
2571,True
2572,False
2575,True
2576,True
2577,True
2578,True
2582,True
2585,True
2588,False
2593,True
2595,True
2596,True
2598,True
2602,True
2603,True
2612,True
2614,False
2619,True
2620,True
2622,True
2636,True
2637,False
2638,True
2640,True
2642,True
2643,True
2644,True
2646,True
2649,True
2651,True
2655,True
2662,False
2670,True
2671,True
2674,True
2676,True
2678,True
2681,True
2691,True
2692,True
2693,True
2697,True
2700,True
2705,True
2713,True
2714,True
2716,False
2718,True
2721,True
2726,True
2727,True
2728,False
2732,True
2749,True
2757,True
2765,True
2770,True
2771,True
2774,True
2779,True
2785,True
2787,True
2792,True
2795,True
2800,True
2804,True
2812,True
2815,True
2819,True
2823,True
2824,True
2832,True
2838,True
2840,True
2841,True
2842,True
2844,True
2845,True
2855,True
2857,True
2858,True
2863,False
2864,True
2869,True
2875,True
2880,True
2883,True
2886,False
2892,True
2893,True
2895,False
2898,True
2899,False
2901,True
2904,True
2905,True
2907,True
2909,True
2912,True
2913,False
2914,True
2915,False
